amfi_code,date,nav,daily_return_pct
100016,2022-01-03,520.4608,
100016,2022-01-04,515.0971,-1.0305675278522441
100016,2022-01-05,521.7239,1.2865147173222402
100016,2022-01-06,515.788,-1.1377473794089044
100016,2022-01-07,515.1639,-0.1209993253041941
100016,2022-01-10,510.7136,-0.8638609964712218
100016,2022-01-11,513.5542,0.5562021453902943
100016,2022-01-12,512.3195,-0.240422529890727
100016,2022-01-13,510.2445,-0.40502069509357197
100016,2022-01-14,514.3636,0.807279647306336
100016,2022-01-17,514.7627,0.07759102704778531
100016,2022-01-18,517.3803,0.5085061524465528
100016,2022-01-19,513.1866,-0.8105642986406814
100016,2022-01-20,507.1294,-1.1803114110929713
100016,2022-01-21,507.871,0.14623486628857485
100016,2022-01-24,506.7062,-0.22934957892849495
100016,2022-01-25,509.7762,0.6058737785328061
100016,2022-01-26,509.68,-0.018871026148337133
100016,2022-01-27,510.8661,0.2327146444828232
100016,2022-01-28,503.8641,-1.3706135521617147
100016,2022-01-31,512.5903,1.7318558714542132
100016,2022-02-01,512.1124,-0.09323235340191749
100016,2022-02-02,515.5386,0.6690328138900803
100016,2022-02-03,512.0153,-0.6834211832052794
100016,2022-02-04,513.6729,0.3237403257285498
100016,2022-02-07,508.0666,-1.091414400097812
100016,2022-02-08,510.3595,0.4512991013382983
100016,2022-02-09,509.0223,-0.26201138609157626
100016,2022-02-10,509.4161,0.07736399760875923
100016,2022-02-11,512.826,0.6693742109839196
100016,2022-02-14,507.5435,-1.0300764781816851
100016,2022-02-15,504.7492,-0.5505537948964023
100016,2022-02-16,507.0506,0.4559492120046915
100016,2022-02-17,516.7872,1.9202422795673746
100016,2022-02-18,516.4246,-0.07016427651457269
100016,2022-02-21,519.3918,0.5745659676165582
100016,2022-02-22,519.1698,-0.04274229974365884
100016,2022-02-23,528.4118,1.7801497698826108
100016,2022-02-24,520.6004,-1.4782788726519613
100016,2022-02-25,521.3038,0.1351132269587163
100016,2022-02-28,514.1489,-1.3725010253138326
100016,2022-03-01,503.1674,-2.1358598647201354
100016,2022-03-02,504.7495,0.3144281604889443
100016,2022-03-03,505.6316,0.1747599551856771
100016,2022-03-04,504.6233,-0.19941396067809647
100016,2022-03-07,504.411,-0.04207098641698659
100016,2022-03-08,518.6513,2.8231541342278454
100016,2022-03-09,517.7387,-0.17595636991558639
100016,2022-03-10,520.3416,0.5027439517270027
100016,2022-03-11,517.6372,-0.5197354968351497
100016,2022-03-14,519.2545,0.3124389050864096
100016,2022-03-15,518.432,-0.15840016793305933
100016,2022-03-16,516.825,-0.3099731498055647
100016,2022-03-17,525.4534,1.6695012818652266
100016,2022-03-18,531.2109,1.0957203816742034
100016,2022-03-21,532.1264,0.17234209614296336
100016,2022-03-22,521.6911,-1.9610566211336278
100016,2022-03-23,520.3011,-0.2664411947989831
100016,2022-03-24,533.1283,2.465341703102286
100016,2022-03-25,532.3194,-0.15172707957915588
100016,2022-03-28,537.8012,1.029795269531797
100016,2022-03-29,544.965,1.332053554361723
100016,2022-03-30,546.3002,0.2450065600543061
100016,2022-03-31,542.5392,-0.6884493177926609
100016,2022-04-01,531.285,-2.0743570234187825
100016,2022-04-04,534.7762,0.6571237659636742
100016,2022-04-05,531.2213,-0.6647453645094892
100016,2022-04-06,532.3217,0.2071453083676955
100016,2022-04-07,526.7582,-1.0451386821164643
100016,2022-04-08,525.7986,-0.18217087080941718
100016,2022-04-11,526.2264,0.08136195113490619
100016,2022-04-12,527.7466,0.28888706457903535
100016,2022-04-13,522.8529,-0.9272821463937375
100016,2022-04-14,528.6739,1.1133150452067975
100016,2022-04-15,526.1696,-0.47369465373646724
100016,2022-04-18,518.7241,-1.4150380409662433
100016,2022-04-19,518.493,-0.04455162195085016
100016,2022-04-20,518.9178,0.0819297463996671
100016,2022-04-21,519.9214,0.19340250035746465
100016,2022-04-22,526.4763,1.260748259256128
100016,2022-04-25,525.6507,-0.1568161757708797
100016,2022-04-26,525.3674,-0.05389510562814337
100016,2022-04-27,520.5493,-0.9170915439366767
100016,2022-04-28,524.6005,0.7782548165947034
100016,2022-04-29,525.7251,0.2143726511888655
100016,2022-05-02,524.0515,-0.31834127759925446
100016,2022-05-03,515.5881,-1.6149939462056673
100016,2022-05-04,522.4674,1.3342627574220556
100016,2022-05-05,517.1078,-1.025824769162631
100016,2022-05-06,514.6837,-0.4687803974335658
100016,2022-05-09,516.5793,0.36830387284461086
100016,2022-05-10,511.4204,-0.9986656453326748
100016,2022-05-11,504.9889,-1.2575759590348734
100016,2022-05-12,495.8735,-1.8050693787526884
100016,2022-05-13,499.2941,0.6898130269111125
100016,2022-05-16,497.1556,-0.4283046805479973
